term,definition,category,example,correct,attempts,last_tested
Adhesion,"1. Attractive force between atoms or molecules of dissimilar materials, when they are in close
approximation. The attachment of one substance to another.
2. The abnormal fibrous joining of adjacent structures following an inflammatory process or as a
result of injury repair.
[See Bonding]
[See Cohesion]
SUBTERMS:
Adhesion
• Capsular adhesion
Fibrosis of the capsular tissues of a joint.
Adhesion
• Extracapsular adhesion
Fibrosis of pericapsular tissues such as muscles or ligaments.
Adhesion
• Intracapsular adhesion (Fibrous ankylosis, Pseudoankylosis)
Fibrosis between intra-articular surfaces within a joint capsule, resulting in reduced mobility of the
affected joint.",,,,,
Advancement (of the mandible),"An orthognathic surgical
procedure aiming at sagittal
(anterior) augmentation of
the mandible, most often
performed through a
standard, or modified
bilateral sagittal split ramus
osteotomy (BSSO).
[See Setback (of the
mandible)]
[See Osteotomy, Bilateral
sagittal split osteotomy
(BSSO)]",,,,,
Advancement (of the maxilla),"Anterior repositioning of
the maxilla by
orthognathic surgery. It
most often involves a Le
Fort I osteotomy.
[See Osteotomy,
Complete maxillary
osteotomy]",,,,,
Aesthetic,"(See Cephalometric lines (planes), S-line (Esthetic plane of Steiner)]
[See Bends (Archwire bends), Artistic bends (Esthetic bends)]
[See Cephalometric lines (planes), Rees esthetic plane]
[See Facial esthetics]
[See Bracket, Esthetic bracket (Clear bracket)]
[See Cephalometric lines (planes), E-line (E-plane, Esthetic line of Ricketts)]
Agenesis
Congenital absence of a tooth.
Ala
The lateral rim of the nostril.",,,,,
Alar cinch,"A procedure performed during any orthognathic surgery that includes mobilization of the entire
maxilla, in order to prevent excessive widening of the alar bases. It involves passing a permanent
suture in a figure-eight fashion through the alar base tissues and through a bur hole placed in the
region of the anterior nasal spine. This is repeated on the opposite side. Each suture is tightened
independently, taking care to maintain symmetry, until the desired alar base width is attained (as
determined from measurements before surgery). A situation in which an alar cinch may not be
performed during maxillary orthognathic surgery is when very narrow alar bases exist
preoperatively.",,,,,
Alloy,"A material that exhibits metallic properties (high electrical and thermal conductivity) and is
composed of two or more elements, at least one of which is a metal (e.g. steel is an alloy of iron
and carbon, brass is an alloy of copper and zinc).",,,,,
Alpha position,"The anterior component of an orthodontic spring or the anterior point of attachment of a spring.
[Compare with Beta position]",,,,,
Alveolar crest,"The most coronal portion of the alveolar process.
Alveolar process

The U-shaped ridge of maxillary or mandibular alveolar bone that surrounds and supports the roots
of the erupted teeth, as well as the unerupted tooth buds.",,,,,
Anchorage,"The sites that provide resistance to the reactive forces generated as a (most commonly,
undesirable) consequence of the activation of an orthodontic or orthopedic appliance. [Short
definition: resistance to unwanted tooth movement].
SUBTERMS:
• Cervical anchorage
Anchorage provided by the back of the neck when extraoral appliances such as a cervical pull
headgear are used.
Extraoral anchorage
Anchorage provided by sites located outside the oral cavity.
Infinite anchorage
The term is commonly used when referring to
implants used as anchorage in orthodontics, to
indicate that they show no movement (zero
anchorage loss) as a consequence of reaction
forces.
[See Implant, Orthodontic implant]
Intermaxillary anchorage
Anchorage for tooth movement provided by the

teeth of the opposing arch.

Intramaxillary anchorage
Anchorage provided by teeth within the same
arch as the ones that are to be moved.
Maximum anchorage (Type A anchorage)
A situation in which the treatment objectives
require that no or very little anchorage can be
lost.

Minimum anchorage (Type C anchorage)
A situation in which, for an optimal result, a
considerable movement of the anchorage segment
(anchorage ""loss"") is desirable, during closure of
space.
Moderate anchorage (Type B anchorage)
A situation in which anchorage is not critical and

space closure should be performed by reciprocal movement of both the active and the anchorage
segment.
Occipital anchorage
Anchorage provided by the superior and posterior portions of the head,
when extraoral appliances such as a high-pull headgear are used.

Reciprocal anchorage
A situation in which the movement of one or more dental units is
balanced against the movement of another, or more dental units, on
which the reaction forces are placed. [The term generally means that the
movement of both the active and the reactive component is desirable. ]
Anchorage loss
The undesirable movement of the reactive anchorage segment, which
happens as a side effect of the movement of the active segment (e.g. mesial movement of the
maxillary molars during retraction of maxillary incisors with intramaxillary mechanics).",,,,,
Anchorage preparation,"A procedure commonly used in the Tweed
technique, during which the molars and
premolars are tipped distally prior to
retraction of the anterior teeth. The theory
behind it is that it increases the anchorage
value of the posterior segments, allowing
further retraction of the canines and incisors
with less anchorage loss.",,,,,
Anchorage reinforcement,"The process of increasing the anchorage value of the reactive segment to resist anchorage loss.
This can be done in a number of ways, e.g. by incorporating more teeth into the reactive segment;
by using additional stabilizing arches such as a lingual arch, a Nance holding arch or a transpalatal
arch; or by using extraoral or intermaxillary traction.",,,,,
Anchorage value,"Relative resistance of a tooth (or a segment of teeth) in comparison to another, which usually is
estimated on the basis of comparison of root surface areas and density of the supporting bone.",,,,,
Angle classification,"• ""Subdivisions"" (left or right)
are used in asymmetric situations to indicate the side that deviates from a Class I molar
relationship.",,,,,
Angle of activation,"A measure (in degrees) of the activation placed into an orthodontic wire by bending or torsion, with
regard to its initial passive state. When the wire characteristics and the interbracket distance are
known, the clinician can estimate the magnitude of the force produced.
Angulation (Second order, ""Tip"")
Angular deviation of the long axis of a tooth from a line perpendicular to the occlusal plane, in the
mesiodistal direction.
[Compare with Inclination (Third order, ""Torque"")]",,,,,
Ankylosis,"Abnormal immobility, union or fusion that may occur between two bones at their articulation (e.g.
ankylosis of the TMJ) or between teeth and alveolar bone. In the instance of the TMJ, bony or
fibrous ankylosis can be caused by conditions such as congenital defects, trauma, inflammation,
infections, arthritis or neoplasms.
In the case of an ankylosed tooth, the periodontal ligament is obliterated in one or more localized
areas, and a ""bony bridge"" is formed by penetration of alveolar bone into the cementum. Dental
ankylosis eliminates the potential for both eruption and orthodontic movement. In a growing
individual, an ankylosed tooth is accompanied by a localized vertical deficiency of the alveolar
ridge, and consequently appears to ""submerge"" as adjacent, unaffected teeth continue to erupt.
Ankylosis of deciduous teeth (usually molars) is a more common phenomenon than ankylosis of
permanent teeth.
[See Tooth mobility, Reduced mobility (Hypomobility)]",,,,,
Annealing,"A heat treatment and cooling schedule used to reduce the hardness and increase the ductility of a
metal by removing residual stress.",,,,,
Anomalad,"A malformation, together with its subsequently derived structural changes (e.g. the Robin
anomalad).",,,,,
Anodontia,"A rare condition characterized by congenital absence of all teeth (both deciduous and permanent).
Most commonly related to ectodermal dysplasia.
[Compare with Oligodontia]",,,,,
Antegonial notch,"A depression or concavity usually present in
the inferior border of the mandible,
immediately anterior to the angle, near the
insertion of the masseter muscle. A deeper
than normal antegonial notch may be
indicative of a dolichofacial pattern or of
mandibular underdevelopment. Pronounced
antegonial notching also is a common
characteristic of some syndromes with
micrognathia of the lower jaw, such as
Treacher Collins syndrome.",,,,,
Anterior component of occlusal force,"A theory attempting to explain the tendency of posterior teeth to drift mesially with time. Factors
that are considered related to this phenomenon are: morphology and angulation of teeth, occlusal
and muscular forces and transseptal fibers.",,,,,
Anterior cranial base,"The anterior aspect of the floor of the cranial vault, commonly delimited cephalometrically by sella
turcica and nasion.",,,,,
Antrum,A cavity or chamber. The term usually refers to the maxillary sinus.,,,,,
Apical area (of the bone),"The apical area in the newborn child and during the
first year of life is the region in which the developing
deciduous and permanent teeth are found. In the
deciduous dentition it comprises the area occupied by
the apices of the deciduous teeth and the developing
permanent teeth. In the mixed dentition, the apical
area is the region in which lie the apices of the
deciduous and erupted permanent teeth, as well as
developing unemerged permanent teeth. In the adult,
the apical area consists of the region in which normally
the apices of the permanent teeth can be located. The
concept of the apical area was introduced by F. P. G.
M. van der Linden in 1979.",,,,,
Apical base,"Maxillary and mandibular bone that
supports and is continuous with the
alveolar processes, as well as with the
maxillary and mandibular bodies.
Although the demarcation between
alveolar and basal bone is not specific, it
generally is thought to lie at or slightly
above the level of the apices of the roots.
The concept of the apical base was
introduced by A. F. Lundstrцm in 1923.
[See Bone, Basal bone]",,,,,
Appliance,"Any device used for a particular functional, diagnostic and/or therapeutic effect.",,,,,
ACCO appliance,"A combination of a modified maxillary removable appliance with a straight-pull J-hook headgear.
The acronym ""ACCO"" was suggested by H. I. Margolis (1976) and stands for ACrylic-CervicalOccipital.
The maxillary removable appliance includes an anterior bite plane, a labial bow, clasps for
retention and finger springs for distalization of the maxillary molars. The J-hook headgear is
attached to loops on the labial bow that are bent between the maxillary central and lateral incisors.
Its purpose is to counteract the reaction force on the maxillary anterior teeth caused by the
distalizing force of the finger springs on the maxillary molars. A cervical headgear also may be
attached on the maxillary molars to complement the action of the ACCO.
In the original design of the appliance by Margolis, molar distalization took place one side at a time.
During distalization on one side, ball clasps or passive finger springs on the other side enhanced
retention of the appliance. Once a Class I molar relationship was achieved on the active side, a
new ACCO was made. The new acrylic configuration and clasps on the completed side would
retain the correction achieved, at the same time providing anchorage to correct the residual Class
II relationship on the contralateral side of the arch.",,,,,
• Activator (Monobloc),"The first removable functional appliance, developed by V. Andresen. Historically, the term
""activator"" was introduced to describe the ""activation of mandibular growth,"" to which the achieved
correction of a Class II malocclusion was attributed. The term currently is used in a generic sense,
referring to a family of functional appliances used to treat Class II malocclusions characterized, at
least in part, by mandibular deficiency. [For activators designed for patients with Class III
malocclusions, see Appliance, Class III functional.] These appliances position the mandible
forward, promoting a new mandibular postural position. The reactive forces from the stretch of the
muscles and soft tissues are transmitted to the maxillary dentition and through that, to the maxilla.
The acrylic body of the Andresen activator covers part of the palate and the lingual aspect of the
mandibular alveolar ridge. (Note: In its original design the appliance contacted the mandibular
anterior teeth only on the lingual side and did not extend over the incisal edges.) A labial bow fitsanterior to the maxillary incisors and carries U-loops for adjustment. On the palatal aspects of the
maxillary incisors, the acrylic is relieved to allow their retraction.
A main feature of the appliance is the faceting of the acrylic on palatal and lingual aspects of the
maxillary and mandibular posterior teeth, respectively, designed to direct their eruption. On the
palatal aspect of the maxillary posterior teeth the facets are cut so as to allow occlusal, distal and
buccal movement of these teeth. This movement is achieved by keeping the acrylic in contact with
only the mesiopalatal surfaces of the premolars and molars. On the lingual aspect of the
mandibular posterior teeth the facets only permit occlusal and mesial movement, with the acrylic
contacting the distolingual surface of these teeth.
[See Appliance, Class Class III functional appliances (Reverse functional appliances)]
[See Appliance, Functional appliance]",,,,,
Active vertical corrector,"An appliance introduced by E. L. Dellinger, attempting to correct anterior open bites by intrusion of
posterior teeth. The appliance consists of maxillary and mandibular posterior biteblocks with
incorporated repelling samarium-cobalt magnets. A commonly reported side effect of treatment
with the appliance is the creation of a posterior crossbite owing to the lateral force components of
the repelling magnets.
[See Orthodontic magnets]",,,,,
"Appliance
• Bass appliance","A removable functional appliance designed by N. M. Bass, consisting of a basic maxillary
expansion plate on which various other parts can be mounted. The expansion plate covers the
occlusal surfaces of all maxillary teeth and has torquing springs for the maxillary central incisors.
The appliance also carries tubes in which buccal shields can be attached, and has mandibular lip
pads extending in the vestibule in a fashion similar to the Frдnkel appliance. On the lingual side
there are specially designed flanges that can be gradually advanced. The Bass appliance also can
be combined with a high-pull headgear.
Appliance",,,,,
"Appliance
• Bimler appliance (Bite former, Bimler stimulator)","A modification of the activator by H. P. Bimler. There are three main kinds of Bimler appliance: type
A for patients with Class II Division 1 malocclusions, type B for those with Class II Division 2 and
type C for patients with a Class III malocclusion. All of the above appliances are flexible and carry
springs and bows on the labial and lingual side in both arches. The springs and bows are
connected together by two acrylic wings which extend toward the palatal and lingual mucosa. Each
appliance type is subdivided further into two main categories, space creation or space closure; the
space creation variety carries additional active springs.
In the type A appliance the mandible is held in its advanced position by engagement of the
mandibular incisors in a splint. The splint contacts the labial aspect of the mandibular incisors while
special springs engage on their lingual aspect. A mandibular labial wire holds the splint in place,
extending distally to connect with the maxillary part of the appliance. The maxillary part of the
appliance carries a labial arch and palatal springs for the maxillary incisors.

In the type B appliance the palate is covered by acrylic, with an incorporated midline screw. No
labial arch exists for the maxillary incisors.
In the type C appliance occlusal wires covered with plastic tubing are used to achieve bite opening.
There is no labial splint, but the mandibular incisors are retracted by a labial bow originating from
the maxillary part of the appliance.",,,,,
"Appliance
• Bionator","A modification of the activator, developed by W. Balters in the 1950s. Its design is significantly less
bulky compared to the activator, thus reducing interference with speech. The bionator consists of a
lingual horseshoe of acrylic, with a palatal spring shaped like a (reversed) Coffin spring. Facets are
created in the acrylic to guide the maxillary and mandibular posterior teeth and hold them in the
postured relationship. A labial bow exists anterior to the maxillary incisors that extends distally to
keep the buccal musculature away from the teeth. In the original design of the appliance, the
mandibular incisors were not capped with acrylic.",,,,,
"Appliance
• Crefcoeur appliance","A removable appliance designed by J. Crefcoeur, most often used to increase space at a specific
location in the dental arch. The appliance is in essence a Hawley-type acrylic plate, sectioned
(split) at the point where space creation is necessary. A heavy-gauge stainless steel wire
(Crefcoeur spring) is embedded in the acrylic at the posterior aspects of the appliance bilaterally.
This wire runs parallel to the edges of the acrylic on the lingual aspect and can be activated
appropriately to increase the separation between the two sectioned parts of the appliance. After
sufficient space has been created, the two parts of the appliance can be reconnected with rapidcuring acrylic. The appliance also can be used to reduce a localized space in the dental arch and
to expand or constrict the dental arches. Good retention and adequate clasps are very important
for the Crefcoeur appliance, particularly in the area of the separation. The retention of the
appliance can be enhanced by creating artificial undercuts with composite on certain teeth.",,,,,
"Appliance
• Chin cap (Chin cup)","Extraoral orthopedic appliance that consists of a cap that fits on the patient’s chin and a headstrap
similar to that of a high-pull headgear. It is designed to deliver a superiorly and posteriorly directed
force to the mandibular condyles, via the chin. The appliance has been used for decades in an
attempt to correct mandibular prognathism in young patients by restraining or redirecting
mandibular condylar growth.",,,,,
"Appliance
• Class Class III functional appliances (Reverse functional appliances)","Various types of functional appliances that position the mandible posteriorly and rotate it open.
Such appliances are advocated for the correction of maxillary deficiency and/or mild mandibular
prognathism in a growing child. The mode of action of Class III functional appliances includes
correction of any anterior crossbite by labial tipping of the maxillary incisors and retroclination of
mandibular incisors (introducing an element of dental compensation for the existing skeletal
discrepancy). The prominence of the chin is decreased by causing the mandible to rotate down
and back and by increasing the lower face height. Treatment with such appliances is not indicated
for patients with excessive lower face height, as is often the case with Class III problems.
Appliance
• Combined functional/extraoral traction appliance
A functional appliance on which a facebow can be attached for extraoral traction (e.g. the Bass and
the Teuscher appliances), or on which a facebow is rigidly fixed (e.g. the Van Beek appliance).
[See Appliance, Bass appliance]
[See Appliance, Teuscher-Stцckli activator/headgear combination appliance]
[See Appliance, Van Beek appliance]",,,,,
"Appliance

• Crib","An interceptive appliance used for correction of deleterious habits such as a deviating tongue
position and/or digit-sucking. A crib typically consists of a fixed transpalatal [0.036-inch (0.90-mm)
or heavier gauge] wire, soldered on two maxillary first permanent molar bands. The wire extends
toward the anterior palate where it forms a crib-shaped ""fence"" meant to interfere with the habit. A
crib also can be incorporated in a removable appliance. Posterior (lateral) tongue cribs can be
used as part of removable appliances in patients with unilateral or bilateral posterior open bite.
[See Appliance, Habit-breaking appliance (Habit reminder)]
[See Crib]",,,,,
"Appliance
• Crozat appliance","Removable orthodontic appliance which was developed by G. Crozat in the early 1900s. In its
original design the appliance was fabricated entirely of precious metal. Heavy gold wiresconstituted the framework and lighter gold fingersprings produced the desired tooth movement.
The Crozat appliance can be used in the maxilla and/or mandible. Tight circumferential clasps
(""cribs"") on the molars provide adequate retention to permit the use of light intermaxillary elastics
with the appliance.
[See Appliance, Crib ]",,,,,
"Appliance
• Delaire appliance","[See Appliance, Face mask (Reverse-pull headgear, Protraction headgear, Face frame)]
Appliance",,,,,
Edgewise appliance (Standard edgewise),"Fixed multi-banded orthodontic appliance, introduced by E. H. Angle in 1928. It involves a
rectangular labial archwire ligated into attachments (brackets) that are fixed on bands which are
cemented to individual teeth, or that are directly bonded to individual teeth. The term ""edgewise""
refers to the fact that the bracket slot is fabricated in a way that permits insertion of the archwire
with its long dimension perpendicular to the long axis of the tooth, instead of parallel to it, as in the
(earlier) ""ribbon arch"" bracket.",,,,,
"Appliance
• Elastic open activator","A modification of the activator developed by G. Klammt. The appliance has reduced acrylic bulk,
facilitating increased appliance wear. The acrylic is replaced by wires which increase the flexibility
of the appliance. The flexible design allows isotonic muscular contractions (in contrast to rigid
appliances, which only allow isometric contractions).",,,,,
"Appliance
• Expansion appliance","An orthodontic appliance used to expand the maxillary or, less frequently, the mandibular dental
arch. An expansion appliance can be removable (e.g. split-plate appliance with a jackscrew) or
fixed on the teeth (e.g. the Hyrax appliance or the Quad-helix).
[See Expansion, Slow maxillary (palatal) expansion (SME or SPE)]
[See Expansion, Rapid maxillary (palatal) expansion (RME, RPE)]

[See Appliance, Haas appliance (Haas rapid maxillary expansion appliance, Haas palatal
separator)]
[See Expansion, Surgically assisted rapid maxillary expansion]
[See Appliance, Hyrax appliance (Hygienic rapid palatal expander)]",,,,,
"Appliance
• Extraoral traction appliance","An orthodontic appliance that makes use of extra-oral anchorage (e.g. headgear, face mask).
Appliance",,,,,
"Appliance
• • Face mask (Reverse-pull headgear, Protraction headgear, Face frame)","Extraoral appliance that utilizes rests on the chin and forehead (and occasionally the cheek bones)
as anchorage for elastic traction, with the purpose of orthopedically protracting the maxilla. This
maxillary protraction is performed as an early treatment modality in Class III malocclusions
associated with maxillary hypoplasia. The face mask also can be used as an orthodontic
appliance, to provide extraoral anchorage for protraction of posterior teeth. Usual side effects of
face mask treatment include elongation of the face (caused by extrusion of the teeth to which the
elastic traction is applied) and proclination of the maxillary incisors, when the traction is applied to
the maxilla. The appliance was designed by J. Delaire and subsequently modified by H. Petit and
others.",,,,,
"Appliance
• Fixed appliance","An appliance that is cemented or bonded to the teeth and thus cannot be removed by the patient.
The term commonly refers to fixed attachments (brackets, tubes, bands) placed on the teeth in
conjunction with archwires to move them to a new position.",,,,,
"Appliance
• Fixed/removable appliance","Orthodontic appliance that is fixed to the teeth but can be removed by the clinician for adjustment
and subsequently re-inserted, without taking off any brackets or bands. Fixed/removable
appliances make use of special sheaths welded on the palatal or lingual aspect of molar bands
(e.g. the fixed/removable lingual arch or transpalatal arch).
[See Sheath]",,,,,
Appliance• Frankel appliance (Function Regulator),"Group of functional appliances developed by R. Frдnkel to treat malocclusions, while aiding in the
maturation, training and reprogramming of the orofacial neuromuscular system. Four main types of
appliances have been described by Frдnkel: Function Regulator (FR)-I was designed for treatment
of Class I and Class II Division 1 malocclusions. The FR-II appliance is meant for patients with
Class II Division 1 and 2 malocclusions, the FR-III was designed for patients with Class III
malocclusions and the FR-IV for patients with hyperdivergent facial patterns and anterior open bite.
The appliances consist of acrylic buccal (vestibular) shields and lip pads, connected by wires, to
restrain and retrain aberrant musculature and to prevent the effects of restricting muscle forces on
the dentition. The extension of the buccal shields into the full depth of the vestibule is supposed to
stimulate the periosteum in order to achieve a skeletal expansion of the apical bases. Lingual
shields also are included to accomplish a gradual, stepwise advancement of the mandible.",,,,,
"Appliance
• Functional appliance","A removable or fixed appliance that alters the posture of the mandible and transmits the forces
created by the resulting stretch of the muscles and soft tissues and by the change of the
neuromuscular environment to the dental and skeletal tissues to produce movement of teeth and
modification of growth.",,,,,
"Zygomatic bone (Malar bone, Cheek bone)","A roughly diamond-shaped bone on either side of the face that forms the prominence of the cheek,
the lateral wall and floor of the orbit and parts of the temporal and infratemporal fossae. It
articulates with the frontal bone, maxilla, zygomatic process of the temporal bone and greater wing
of the sphenoid bone. At birth, the bone may be divided by a horizontal suture into a superior and
an inferior part.",,,,,
Yield strength (YS),"A property that represents the stress value at which a small amount of permanent deformation has
occurred. A value of either 0.1% or 0.2% of permanent deformation is usually selected and is
referred to as the percent offset. The yield strength of a material always is slightly higher than the
elastic limit. A material with a high yield strength is more resistant to permanent deformation than a
material with a low yield strength. The yield strength of a material increases proportionally to the
amount of work-hardening that it is subjected to.",,,,,
Yield point,"The point on a stress/strain curve at which 0.1% or 0.2% permanent deformation has occurred to a
body (e.g. an orthodontic wire) under the influence of a load. (In other words, the point on a stress/
strain curve where there is appreciable plastic deformation [0.1% or 0.2% is arbitrarily selected. ])
[See Stress/strain diagram (Stress/strain curve)]",,,,,
"Working range (Range, Maximum elastic strain)","The maximum deformation (deflection) of an orthodontic wire or spring within its elastic range.
Working side (Functioning side, Laterotrusive side)
The side toward which the mandible moves during a lateral excursion.",,,,,
X-bite,"Abbreviation for crossbite.
[See Crossbite]",,,,,
Wolff’s law of bone remodeling,"A book published in 1892 by J. Wolff [original title: ""Das Gesetz der Transformation der Knochen""]
presenting his observation that bone reacts to mechanical functional stress through an adaptive
process resulting in a change of its external and internal architecture to better withstand this stress.
According to Wolff, the trabecular pattern of a bone is related to stress trajectories and thus can be
correlated with its function in a mathematical way.",,,,,
White spot lesion (Decalcification),"Initial symptom of a carious lesion representing a subsurface demineralization. A common side
effect of orthodontic treatment in patients with compromised oral hygiene. White spot lesions also
may occur in areas where there is inadequate bonding material between the bracket base and the
enamel creating a space, or in instances of badly fitted bands where there is space between the
band and the tooth surface. Such defects can be repaired, at least partially, by fluoride treatment.",,,,,
Welding,"An operation by which two or more metal surfaces are united, by means of heat and/or high
compressive forces, in such a way that there is continuity of the nature of the material between
these parts. The use of a filler material, the melting temperature of which is of the same order as
that of the parent material, is optional.

SUBTERMS:
Laser welding
Spot welding",,,,,
"Appliance
• Haas appliance (Haas rapid maxillary expansion appliance, Haas palatal separator)","A fixed expansion appliance that was popularized by A. J. Haas. The appliance consists of bands
cemented on the maxillary first premolars and first molars that are rigidly connected to each other
with heavy-gauge wires on the buccal and palatal aspect of the teeth. Two acrylic pads encase the
palatal connecting wires and are joined with a midline jackscrew. The acrylic pads are in close
contact with the palatal mucosa. The Haas appliance was designed to expand the maxillary arch
by opening the midpalatal suture, thereby causing a skeletal expansion of the maxilla. According to
Haas, the contact of the pads with the palate allows the forces from the appliance to be dissipated
against the underlying hard and soft tissues of the palate, thus minimizing the amount of dental
tipping and maximizing the skeletal effect. Others consider this a disadvantage of the appliance
with regard to hygiene, resulting in inflammation of the palatal tissues.
[See Appliance, Expansion appliance]
[See Appliance, Hyrax appliance (Hygienic rapid palatal expander)]
[See Expansion, Rapid maxillary (palatal) expansion (RME, RPE)]
[See Expansion, Slow maxillary (palatal) expansion (SME or SPE)][See Expansion, Surgically assisted rapid maxillary expansion]",,,,,
"Appliance
• Habit-breaking appliance (Habit reminder)","Any removable or fixed appliance designed to correct undesirable habits such as digit-sucking,
tongue interposition, tongue-thrusting, or infantile swallow.
[See Appliance, Crib ]
[See Appliance, Vestibular shield (Vestibular screen)]",,,,,
"Appliance
• Harvold-Woodside activator","A modification of the activator developed by E. P. Harvold and D. G. Woodside. Its distinguishing
feature is the overextended vertical opening to which the appliance is constructed. The bite is
opened by 5 mm to 6 mm beyond the freeway space. The rationale is that maximum stretching of
the muscles will produce a force that will be transmitted to the bones and teeth, inducing a
compensatory anatomic correction. It is claimed that the Harvold-Woodside activator requires
minimal mandibular advancement to produce the desired sagittal correction, as the extreme
muscle stretch can cause intrusion (or inhibition of eruption) of the maxillary posterior teeth,
resulting in ""closure"" or counterclockwise rotation of the mandible with a relative Class II correction
(bite-block effect). Relieving the acrylic occlusally to the mandibular posterior teeth allows them to
erupt in a mesial direction, which also facilitates Class II correction.",,,,,
"Appliance
• Herren activator (L.S.U. activator)","A modification of the activator developed by P. Herren (also known as the Louisiana State
University modification of the same appliance). It is essentially an activator made to a construction
bite that positions the mandible forward and downward to asignificant degree. According to P.
Herren, the wearing of this appliance is not supposed to increase the activity of the lateral
pterygoid muscle.
Appliance",,,,,
appliance Hickham protraction,"A modification of the face mask developed by J. H. Hickham. It consists of a chin cup with hooks
extending upwards and forwards, for application of anterior elastic traction to the maxilla and/or the
maxillary (or mandibular) dentition.
Appliance",,,,,
